id,instance_id,sampler,p,max_iter,shots,optimizer,warm_start,optimum,time,time_difference,error
0,0,aer,1,250,200,COBYLA,False,2.0,0.6995539665222168,0.6592597961425782,1.0
1,0,aer,1,250,200,COBYLA,True,1.0,0.6082370281219482,0.5679428577423097,0.0
2,0,noise,1,250,200,COBYLA,False,102.0,0.810405969619751,0.7701117992401124,10201.0
3,0,noise,1,250,200,COBYLA,True,2.0,0.7774538993835449,0.7371597290039064,1.0
4,0,aqt,1,250,200,COBYLA,False,1.0,1.9663569927215576,1.926062822341919,0.0
5,0,aqt,1,250,200,COBYLA,True,101.0,2.050386905670166,2.0100927352905273,10000.0
6,0,aer,1,250,200,NELDER_MEAD,False,1.0,7.19931697845459,7.159022808074951,0.0
7,0,aer,1,250,200,NELDER_MEAD,True,2.0,7.240422964096069,7.200128793716431,1.0
8,0,noise,1,250,200,NELDER_MEAD,False,202.0,8.868093729019165,8.827799558639526,40401.0
9,0,noise,1,250,200,NELDER_MEAD,True,2.0,10.704040765762327,10.663746595382689,1.0
10,0,aqt,1,250,200,NELDER_MEAD,False,101.0,31.492828845977783,31.452534675598145,10000.0
11,0,aqt,1,250,200,NELDER_MEAD,True,1.0,33.716089963912964,33.675795793533325,0.0
12,0,aer,1,250,200,SLSQP,False,2.0,2.2979178428649902,2.2576236724853516,1.0
13,0,aer,1,250,200,SLSQP,True,1.0,1.8300871849060056,1.789793014526367,0.0
14,0,noise,1,250,200,SLSQP,False,102.0,1.4942669868469238,1.4539728164672852,10201.0
15,0,noise,1,250,200,SLSQP,True,102.0,1.3878920078277588,1.3475978374481201,10201.0
16,0,aqt,1,250,200,SLSQP,False,402.0,8.738399982452393,8.698105812072754,160801.0
17,0,aqt,1,250,200,SLSQP,True,1.0,12.952001094818115,12.911706924438477,0.0
18,0,aer,1,250,400,COBYLA,False,2.0,0.8794231414794922,0.8391289710998536,1.0
19,0,aer,1,250,400,COBYLA,True,1.0,1.0007719993591309,0.9604778289794923,0.0
20,0,noise,1,250,400,COBYLA,False,2.0,1.3578879833221436,1.3175938129425049,1.0
21,0,noise,1,250,400,COBYLA,True,1.0,1.1488759517669678,1.108581781387329,0.0
22,0,aer,1,250,400,NELDER_MEAD,False,2.0,10.483604907989502,10.443310737609863,1.0
23,0,aer,1,250,400,NELDER_MEAD,True,102.0,11.237588882446287,11.197294712066649,10201.0
